Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Амира | Красный +2 | 6 stars | 130 | 202299,4393194,559241,0,Аксель | 11064,,Исмаил | Красный +2 | 6 stars | 130 | 198506,873384,507534,36687,Фенрис | 8108
,,,Хайди | Красный +2 | 6 stars | 130 | 208190,480982,0,0,Бисквит | 11064,,Эйден | Красный +2 | 6 stars | 130 | 167754,127768,1915527,107608,Мерлин | 6319
,,,Эйден | Красный +2 | 6 stars | 130 | 197661,441696,559241,525490,Хорус | 11064,,Лара Крофт | Красный +2 | 5 stars | 130 | 185929,71163,654183,43574,Мара | 5063
,,,Дориан | Красный +2 | 6 stars | 130 | 202343,162739,138170,50508,Мерлин | 11064,,Лирия | Красный +2 | 6 stars | 130 | 184683,34848,1958289,0,Оливер | 9428
,,,Полярис | Красный +2 | 6 stars | 130 | 197194,25515,6027,6027,Мара | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 177127,17346,572041,0,Альбус | 9692
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,241618,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 166122,0,0,0,

Мост Героев (Позиция 3),Победа,+35,TarzanAdy (130-1131352),,,,,,Старый (130-1089215),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Айзек | Красный +2 | 6 stars | 130 | 192598,1220908,358363,0,Аксель | 11064,,Орион | Красный +2 | 6 stars | 130 | 201063,1481863,764842,276739,Хорус | 11064
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 204827,761708,295196,153241,Векс | 11064,,Данте | Красный +2 | 6 stars | 130 | 200456,832777,439332,0,Каин | 10154
,,,Корвус | Красный +2 | 6 stars | 130 | 190124,411909,680915,77448,Оливер | 11064,,Август | Красный +2 | 6 stars | 130 | 181669,227282,556298,65888,Альбус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 178632,217931,653044,87923,Бисквит | 11064,,Дориан | Красный +2 | 6 stars | 130 | 140758,2833,499861,810,
,,,Себастьян | Красный +2 | 6 stars | 130 | 183228,151628,557237,0,Альбус | 11064,,Небула | Красный +2 | 6 stars | 130 | 183326,0,503751,0,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Алтарь Жизни (Позиция 2),Победа,+35,pphrla (130-879895),,,,,,Лапочка (130-698513),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 191366,16080772,12467440,0,,,Эдем | 6 stars | 130 | 128787,14252734,12660587,0,
,,,Ангус | 6 stars | 130 | 165875,14021544,16782782,0,,,Ригель | 6 stars | 130 | 150543,13912996,14043163,0,
,,,Гиперион | 6 stars | 130 | 191012,12728016,11834224,1509009,,,Тенебрис | 6 stars | 130 | 172080,11276432,10453855,3458962,
,,,Авалон | 6 stars | 130 | 165840,3937656,12580434,0,,,Амон | 6 stars | 130 | 142001,5278567,7607439,0,
,,,Сильва | 6 stars | 130 | 165802,2717589,9565056,0,,,Брустар | 6 stars | 130 | 105102,1535193,9994309,0,
,,,Тотем Духа Земли | 3 stars | 100,5273776,5122861,0,,,Тотем Духа Тьмы | 2 stars | 113,8814696,0,1532560,
,,,,,,,,,Тотем Духа Света | 6 stars | 130,11691220,0,0,

Алтарь Жизни (Позиция 1),Победа,+35,TarzanAdy (130-1100124),,,,,,Виларт (130-876505),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 199921,13989926,8543619,1599760,,,Тенебрис | 6 stars | 130 | 271165,6648880,9450775,2394503,
,,,Солярис | 6 stars | 130 | 241013,12324018,9956766,881343,,,Вулкан | 6 stars | 100 | 83598,3520127,3137938,0,
,,,Нова | 6 stars | 130 | 199922,6116019,9285786,0,,,Араджи | 6 stars | 130 | 197135,3422316,7966228,0,
,,,Тенебрис | 6 stars | 130 | 259347,2059400,8431115,0,,,Сигурд | 6 stars | 130 | 208926,2641971,13154376,0,
,,,Сигурд | 6 stars | 130 | 199921,1883392,17440060,0,,,Игнис | 6 stars | 125 | 115681,1776687,5670582,0,
,,,Тотем Духа Воды | 3 stars | 130,3007144,0,3826368,,,Тотем Духа Огня | 6 stars | 130,35647365,0,0,

Мост Героев (Позиция 4),Победа,+35,Karn (130-1157234),,,,,,Оди (130-1139583),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Исмаил | Красный +2 | 6 stars | 130 | 205642,1660890,84774,809222,Фенрис | 9637,,Исмаил | Красный +2 | 6 stars | 130 | 200645,990162,596448,121227,Фенрис | 7804
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 209079,1337991,75537,0,Векс | 6894,,Лара Крофт | Красный +2 | 5 stars | 130 | 208819,784127,719101,77287,Векс | 7804
,,,Себастьян | Красный +2 | 6 stars | 130 | 203138,603865,41494,0,Альбус | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 198368,140728,709652,0,Альбус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 181800,314284,884421,64640,Оливер | 11064,,Лирия | Красный +2 | 6 stars | 130 | 185460,45934,1213086,99576,Оливер | 11064
,,,Эйден | Красный +2 | 6 stars | 130 | 175632,102011,884421,126403,Хорус | 11064,,Тея | Красный +2 | 6 stars | 130 | 191173,9696,780754,399494,Мара | 9762
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 155118,0,0,0,

Мост Героев (Позиция 2),Победа,+35,Hachi (130-1189630),,,,,,Виларт (130-1047612),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Амира | Красный +2 | 6 stars | 130 | 202299,4186541,475158,0,Аксель | 11064,,Исмаил | Красный +2 | 6 stars | 130 | 196901,747280,554968,0,Фенрис | 4313
,,,Эйден | Красный +2 | 6 stars | 130 | 197661,385356,475158,496558,Хорус | 11064,,Эйден | Красный +2 | 6 stars | 130 | 147086,154022,1696549,89317,Хорус | 9020
,,,Хайди | Красный +2 | 6 stars | 130 | 208190,271099,22974,15415,Бисквит | 11064,,Лирия | Красный +2 | 6 stars | 130 | 182633,48056,1737916,2402,Оливер | 6066
,,,Дориан | Красный +2 | 6 stars | 130 | 202343,161331,138170,2698,Мерлин | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 175781,23932,521927,0,Альбус | 5306
,,,Полярис | Красный +2 | 6 stars | 130 | 197194,29550,5768,0,Мара | 11064,,Небула | Красный +2 | 6 stars | 130 | 186137,0,486411,63706,Каин | 3943
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,102064,0,0,,,Хорус | Фиолетовый +3 | 5 stars | 130 | 159074,5768,0,0,

Источник Стихий (Позиция 2),Победа,+35,Team suzu (130-1008743),,,,,,Bugzi (130-683146),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 283761,30473064,8579554,4112704,,,Эдем | 6 stars | 130 | 170670,11335419,13589289,0,
,,,Эдем | 6 stars | 130 | 199095,13482663,4878329,0,,,Сильва | 6 stars | 88 | 82324,2901249,6891635,0,
,,,Араджи | 6 stars | 130 | 198617,6665168,1794183,0,,,Авалон | 6 stars | 111 | 98934,1840164,9688207,0,
,,,Молох | 6 stars | 130 | 184644,6163199,10961488,0,,,Вердок и Фито | 6 stars | 130 | 170106,1685964,14329963,0,
,,,Игнис | 6 stars | 130 | 142626,6008775,2219846,0,,,Ангус | 6 stars | 130 | 161112,916599,16891302,0,
,,,Тотем Духа Огня | 3 stars | 107,5170115,0,971020,,,Тотем Духа Земли | 5 stars | 110,9754005,7958825,0,

Бастион Огня (Позиция 4),Поражение,+30,Hachi (130-1223080),,,,,,ZOV (130-1118782),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 214578,17954240,17174063,1959369,,,Молох | 6 stars | 130 | 205463,19417386,26336613,0,
,,,Тенебрис | 6 stars | 130 | 312449,15277252,22163163,4316693,,,Араджи | 6 stars | 130 | 194555,9797633,10547611,0,
,,,Нова | 6 stars | 130 | 230856,9504013,10004819,0,,,Солярис | 6 stars | 130 | 311187,6779377,24968813,4053952,
,,,Маири | 6 stars | 130 | 214578,3281280,14356529,0,,,Ияри | 6 stars | 130 | 249319,4665660,20984189,1207896,
